title,subject,year_group,key_stage,unit,learning_objective,oak_url
"Formation of S, J and U",English,Year 1,ks1,,"I can form the capital letters S, J and U.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/capital-letters/lessons/formation-of-s-j-and-u
"Formation of X, Y and Z",English,Year 1,ks1,,"You can form the capital letters X, Y and Z.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/capital-letters/lessons/formation-of-x-y-and-z
Formation of b and p,English,Year 1,ks1,,I can form the letters b and p.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/formation-of-b-and-p
"Formation of c, a and d",English,Year 1,ks1,,"I can form the letters c, a and d.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/formation-of-c-a-and-d
"Formation of e, s and f",English,Year 1,ks1,,"I can form the letters e, s and f.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/formation-of-e-s-and-f
Formation of h and k,English,Year 1,ks1,,I can form the letters h and k.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/formation-of-h-and-k
"Formation of i, l and t",English,Year 1,ks1,,"You can form the letters i, l and t.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/formation-of-i-l-and-t
"Formation of m, n and r",English,Year 1,ks1,,"I can form the letters m, n and r.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/formation-of-m-n-and-r
Formation of numerals 0-5,English,Year 1,ks1,,I can correctly form the numerals 0-5.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/numerals-1-10/lessons/formation-of-numerals-0-5
Formation of numerals 6-10,English,Year 1,ks1,,I can correctly form the numerals 6-10.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/numerals-1-10/lessons/formation-of-numerals-6-10
"Formation of o, g and q",English,Year 1,ks1,,"I can form the letters o, g and q.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/writing-lower-case-letters-in-print/lessons/formation-of-o-g-and-q
