title,subject,year_group,key_stage,unit,learning_objective,oak_url
"Mardi gras: negation, singular verbs",French,Year 5,ks2,,I can describe the Mardi Gras festival using affirmative and negative sentences.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/celebrations-in-france-and-haiti-plural-er-verbs-est-ce-que-negation/lessons/mardi-gras-negation-singular-verbs
My ideal teacher: singular and plural adjectives,French,Year 5,ks2,,"I can form sentences using adjective agreement with plural adjectives, and the indefinite article 'des'.",https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-have-plural-avoir-and-nouns/lessons/my-ideal-teacher-singular-and-plural-adjectives
New Year's traditions: 'vous' meaning formal you,French,Year 5,ks2,,I can distinguish between the different forms of 'you' in French and I can form sentences with -er verbs and plural nouns.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/celebrations-in-france-and-haiti-plural-er-verbs-est-ce-que-negation/lessons/new-years-traditions-vous-meaning-formal-you
"Our own space: 'ils ont', 'elles ont' and adjectives before the noun",French,Year 5,ks2,,I can describe what people have using 'ils ont' and 'elles ont' and prenominal adjectives.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-have-plural-avoir-and-nouns/lessons/our-own-space-ils-ont-elles-ont-and-adjectives-before-the-noun
Presentation about Haiti: 'est-ce que' questions,French,Year 5,ks2,,I can ask questions using intonation or 'est-ce que' to find out information about the French speaking country Haiti.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/celebrations-in-france-and-haiti-plural-er-verbs-est-ce-que-negation/lessons/presentation-about-haiti-est-ce-que-questions
"Story: Soura, la souris",French,Year 5,ks2,,I can read and understand a short story in French.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/me-and-others-plural-etre-and-regular-adjectives/lessons/story-soura-la-souris
Teachers: 'nous sommes' and plural adjective agreement,French,Year 5,ks2,,"I can write sentences describing what we are like, using 'nous sommes' and plural adjective agreement.",https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/me-and-others-plural-etre-and-regular-adjectives/lessons/teachers-nous-sommes-and-plural-adjective-agreement
To have or to be: 'avoir' and 'être' singular,French,Year 5,ks2,,I can form sentences and recognise when to use the verbs 'avoir' and 'être'.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-have-plural-avoir-and-nouns/lessons/to-have-or-to-be-avoir-and-etre-singular
"Activities at home: 'je fais' and 'il, elle fait'",French,Year 6,ks2,,"I can use singular forms of 'faire' with a range of nouns to express what 'I', 'he' and 'she' do or make at home.",https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-do-faire-singular-persons-quest-ce-que/lessons/activities-at-home-je-fais-and-il-elle-fait
Activities at home: 'tu fais',French,Year 6,ks2,,I can use singular forms of 'faire' with a range of nouns to describe who does what at home.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-do-faire-singular-persons-quest-ce-que/lessons/activities-at-home-tu-fais
Activities at home: negation,French,Year 6,ks2,,"I can form positive and negative sentences with singular forms of 'faire' to describe what I and others do, and don't do, at home.",https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-do-faire-singular-persons-quest-ce-que/lessons/activities-at-home-negation
Activities at home: questions with 'qu'est-ce que …',French,Year 6,ks2,,I can use 'qu'est-ce que' with singular 'faire' to ask what others are doing.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-do-faire-singular-persons-quest-ce-que/lessons/activities-at-home-questions-with-quest-ce-que
Canada: 'dans' and 'à' both meaning 'in' and 'to',French,Year 6,ks2,,I can use my knowledge of singular forms of 'aller' with the correct preposition to say where I and others are going 'to'.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/where-i-am-going-aller-singular-persons-ou-est-ce-que/lessons/canada-dans-and-a-both-meaning-in-and-to
"Canada: 'je vais' and 'il, elle va'",French,Year 6,ks2,,I can use my knowledge of singular ‘aller’ with cardinal points to understand what direction I and others are going in.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/where-i-am-going-aller-singular-persons-ou-est-ce-que/lessons/canada-je-vais-and-il-elle-va
My friends: 'mes' and 'tes',French,Year 6,ks2,,I can use the correct possessive pronoun in French in order to refer to 'my' or 'your' things.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-do-faire-singular-persons-quest-ce-que/lessons/my-friends-mes-and-tes
Numbers 1-31: 'il n'y a pas de',French,Year 6,ks2,,"I can use my knowledge of numbers, ‘il y a’ and ‘il n’y a pas de’ to understand and give descriptions of school facilities.",https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/school-avoir-etre-il-y-a-and-regular-verbs-in-the-present/lessons/numbers-1-31-il-ny-a-pas-de
Places in town: 'tu vas',French,Year 6,ks2,,I can use singular forms of ‘aller’ with the correct prepositions and a range of nouns to say where I and you are going.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/where-i-am-going-aller-singular-persons-ou-est-ce-que/lessons/places-in-town-tu-vas
"School: 'ils, elles ont' and 'ils, elles sont'",French,Year 6,ks2,,"I can use 'ils, elles ont' and 'ils, elles sont' with a range of adjectives to write sentences describing my school.",https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/school-avoir-etre-il-y-a-and-regular-verbs-in-the-present/lessons/school-ils-elles-ont-and-ils-elles-sont
School: Instructions in class,French,Year 6,ks2,,"I can greet different people, understand simple class instructions and ask/answer ‘How are you?’.",https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/school-avoir-etre-il-y-a-and-regular-verbs-in-the-present/lessons/school-instructions-in-class
Sports: 'faire' singular persons with sports,French,Year 6,ks2,,I can use singular ‘faire’ to express which sports and activities I and others do or make.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-do-faire-singular-persons-quest-ce-que/lessons/sports-faire-singular-persons-with-sports
Sports: 'jouer' singular persons,French,Year 6,ks2,,"I can say which sport I and others play, and link two clauses with 'quand' to create longer sentences.",https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-do-faire-singular-persons-quest-ce-que/lessons/sports-jouer-singular-persons
Sports: intonation questions with 'quel' and 'quelle',French,Year 6,ks2,,I can use 'quel' and 'quelle' before a range of nouns to ask questions about what I and others are doing.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-do-faire-singular-persons-quest-ce-que/lessons/sports-intonation-questions-with-quel-and-quelle
Summer time: understand a longer text,French,Year 6,ks2,,I can understand and respond to a letter in French about summertime activities.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-do-faire-singular-persons-quest-ce-que/lessons/summer-time-understand-a-longer-text
Weather: 'il fait',French,Year 6,ks2,,I can use 'il fait' with a variety of adjectives to describe the weather as well as activities on holiday.,https://www.thenational.academy/teachers/programmes/french-primary-ks2/units/what-i-and-others-do-faire-singular-persons-quest-ce-que/lessons/weather-il-fait
"Actions towards others: Malala, singular -er verbs with preposition 'à'",French,Year 7,ks3,,"I can use my knowledge of vocabulary, cognates and the present tense to understand a French presentation about Malala Yousafzai.",https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-singular-verbs-in-the-present-tense/lessons/actions-towards-others-malala-singular-er-verbs-with-preposition-a
Actions: singular -er verbs in simple present and present continuous,French,Year 7,ks3,,I can use the present tense to describe activities that I do and am doing.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-singular-verbs-in-the-present-tense/lessons/actions-singular-er-verbs-in-simple-present-and-present-continuous
Ask about destinations: using reference materials,French,Year 7,ks3,,"I can understand, ask and answer intonation questions using singular forms of 'aller' about travel to different destinations.",https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/places-to-go-singular-aller/lessons/ask-about-destinations-using-reference-materials
Ask about plans: inversion questions with question words,French,Year 7,ks3,,I can ask about future plans using inversion questions with question words.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/my-plans-aller-plus-infinitive/lessons/ask-about-plans-inversion-questions-with-question-words
Ask about someone: yes/no intonation questions,French,Year 7,ks3,,I can make adjectives agree with nouns and I can form yes/no questions by raising my voice.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/greeting-singular-etre-and-regular-adjectives/lessons/ask-about-someone-yes-no-intonation-questions
Ask others: -er verbs 2nd persons singular and plural,French,Year 7,ks3,,"I can ask and answer questions in the 2nd person singular and plural verb forms, using a range of -er verbs.",https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-plural-verbs-in-the-present-tense/lessons/ask-others-er-verbs-2nd-persons-singular-and-plural
Ask what someone has: 'avoir' 2nd person singular,French,Year 7,ks3,,I can ask what you have and say what I have using ‘avoir’.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/belongings-singular-avoir-nouns-and-indefinite-articles/lessons/ask-what-someone-has-avoir-2nd-person-singular
"Ask where: 'vas', intonation questions with 'où', 'comment', 'quand'",French,Year 7,ks3,,"I can use singular forms of 'aller' to ask and answer questions about where, when and how I and others go.",https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/places-to-go-singular-aller/lessons/ask-where-vas-intonation-questions-with-ou-comment-quand
Belongings: adjective position after nouns and the alphabet,French,Year 7,ks3,,I can spell words out using the French alphabet and use adjectives to describe what I have and someone else has.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/belongings-singular-avoir-nouns-and-indefinite-articles/lessons/belongings-adjective-position-after-nouns-and-the-alphabet
"Belongings: possessive adjectives 'mon', 'ma', 'mes' and 'ton', 'ta', 'tes'",French,Year 7,ks3,,I can use possessive adjectives to talk about everyday life.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/everyday-situations-plural-faire/lessons/belongings-possessive-adjectives-mon-ma-mes-and-ton-ta-tes
Conversations: verbs like 'prendre' and 'dire',French,Year 7,ks3,,I can use the singular forms of -re verb ‘dire’ and verbs like 'prendre' in the present tense.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/school-life-inversion-questions-and-singular-common-re-and-ir-verbs/lessons/conversations-verbs-like-prendre-and-dire
Describe a person or thing: regular gender adjective agreement,French,Year 7,ks3,,I can form feminine adjectives by adding an 'e'.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/greeting-singular-etre-and-regular-adjectives/lessons/describe-a-person-or-thing-regular-gender-adjective-agreement
Describe a person or thing: être 1st and 3rd persons singular,French,Year 7,ks3,,"I can say what 'I am' and 'she, he is' using some new and familiar adjectives.",https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/greeting-singular-etre-and-regular-adjectives/lessons/describe-a-person-or-thing-etre-1st-and-3rd-persons-singular
Describe people and places: using correct adjectival position,French,Year 7,ks3,,I can describe my ideal town using pre-nominal and post-nominal adjectives.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/paris-and-nice-adjective-placement/lessons/describe-people-and-places-using-correct-adjectival-position
Describe people: 'être' 1st and 2nd persons plural and regular plural adjectives,French,Year 7,ks3,,I can use 'nous sommes' and 'vous êtes' with regular plural adjectives to describe what we and you (pl) are like.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/family-life-numbers-plural-nouns-plural-avoir-and-etre/lessons/describe-people-etre-1st-and-2nd-persons-plural-and-regular-plural-adjectives
Describe people: 'être' 3rd person plural and regular plural adjectives,French,Year 7,ks3,,I can use 'ils sont' and 'elles sont' with regular plural adjectives to describe what they (masculine and feminine) are like.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/family-life-numbers-plural-nouns-plural-avoir-and-etre/lessons/describe-people-etre-3rd-person-plural-and-regular-plural-adjectives
Describe places: common irregular and pre-nominal adjectives,French,Year 7,ks3,,I can describe a French town using pre-nominal and common irregular adjectives.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/paris-and-nice-adjective-placement/lessons/describe-places-common-irregular-and-pre-nominal-adjectives
Different types of questions,French,Year 7,ks3,,I can ask questions for information in French.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/school-life-inversion-questions-and-singular-common-re-and-ir-verbs/lessons/different-types-of-questions
Family activities: plural indefinite article 'des',French,Year 7,ks3,,I can use the indefinite article ‘des’ and the numbers 1-12 with plural nouns to say how many of something there is or there are.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/family-life-numbers-plural-nouns-plural-avoir-and-etre/lessons/family-activities-plural-indefinite-article-des
Family: extended practice,French,Year 7,ks3,,I can use a range of high frequency vocabulary with grammatical accuracy to describe daily life.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/everyday-situations-plural-faire/lessons/family-extended-practice
Famous people: -er verbs in the present tense,French,Year 7,ks3,,"I can understand short texts about famous people written in the 1st person singular of a range of verbs, then summarise them in French using the 3rd person singular.",https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/places-and-people-plural-aller-and-er-present-tense-verbs/lessons/famous-people-er-verbs-in-the-present-tense
Future intentions: 'aller' + infinitive,French,Year 7,ks3,,"I can use the short form of 'aller' with a range of infinitive verbs to express my own, and others' future intentions.",https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/my-plans-aller-plus-infinitive/lessons/future-intentions-aller-plus-infinitive
Information questions: inversion questions with question words,French,Year 7,ks3,,I can use inversion to ask information questions.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/school-life-inversion-questions-and-singular-common-re-and-ir-verbs/lessons/information-questions-inversion-questions-with-question-words
Inversion questions,French,Year 7,ks3,,I can ask questions using subject-verb inversion.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/school-life-inversion-questions-and-singular-common-re-and-ir-verbs/lessons/inversion-questions
Make plans: 'aller' 1st and 2nd persons plural + infinitive,French,Year 7,ks3,,I can use 'aller' in the 1st and 2nd persons plural with an infinitive to express what we and you (plural) are going to do.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/my-plans-aller-plus-infinitive/lessons/make-plans-aller-1st-and-2nd-persons-plural-plus-infinitive
Me and you: être 1st and 2nd persons singular,French,Year 7,ks3,,I can say who I am and what kind of person I am.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/greeting-singular-etre-and-regular-adjectives/lessons/me-and-you-etre-1st-and-2nd-persons-singular
More than one: plural nouns and plural definite article 'les',French,Year 7,ks3,,I can use the plural definite article 'les' with plural nouns and 'l'' with nouns starting with a vowel to talk about one and more than one thing.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/people-singular-avoir-and-etre-and-definite-articles/lessons/more-than-one-plural-nouns-and-plural-definite-article-les
Numbers 1-12: 'il y a',French,Year 7,ks3,,I can use numbers 1-12 with 'il y a' to say how many of something there is or there are.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/family-life-numbers-plural-nouns-plural-avoir-and-etre/lessons/numbers-1-12-il-y-a
Paris,French,Year 7,ks3,,I can translate a postcard from Paris.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/paris-and-nice-adjective-placement/lessons/paris
"People's lives: prepositions 'à', 'en', 'chez', 'de'",French,Year 7,ks3,,I can recognise a variety of -er verbs with different prepositions to understand descriptions of people's lives.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/places-and-people-plural-aller-and-er-present-tense-verbs/lessons/peoples-lives-prepositions-a-en-chez-de
"Places in town: 'aller' 1st and 3rd persons singular, 'au' and 'à la'",French,Year 7,ks3,,"I can use 'je vais' and 'il, elle va' with the preposition 'à' to say and understand where I and others go.",https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/places-to-go-singular-aller/lessons/places-in-town-aller-1st-and-3rd-persons-singular-au-and-a-la
Questions about others: inversion questions (il/elle),French,Year 7,ks3,,I can ask questions about others using inversion.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/school-life-inversion-questions-and-singular-common-re-and-ir-verbs/lessons/questions-about-others-inversion-questions-il-elle
"Questions about others: verbs 'sortir', 'venir' and two-verb inversion questions",French,Year 7,ks3,,I can use the singular forms of the verbs 'venir' and 'sortir' and I can use inversion to ask questions about others in French.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/school-life-inversion-questions-and-singular-common-re-and-ir-verbs/lessons/questions-about-others-verbs-sortir-venir-and-two-verb-inversion-questions
Read about friends: feminisation of person nouns,French,Year 7,ks3,,I know how to make person nouns feminine and can read and understand a text about a friend.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/people-singular-avoir-and-etre-and-definite-articles/lessons/read-about-friends-feminisation-of-person-nouns-21413
Sept Couleurs Magiques (Mymi Doinet),French,Year 7,ks3,,I can use prior knowledge and cognates to read a French poem and apply adjectival agreement to colours.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/poem-sept-couleurs-magiques/lessons/sept-couleurs-magiques-mymi-doinet
Talk about what others do: -er verbs 3rd persons singular and plural,French,Year 7,ks3,,I can understand and form sentences using a range of -er verbs to talk and write about what others do.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-plural-verbs-in-the-present-tense/lessons/talk-about-what-others-do-er-verbs-3rd-persons-singular-and-plural
Talk to others: -er verbs 2nd persons singular and plural,French,Year 7,ks3,,I can use 'tu' and 'vous' with a range of -er verbs to understand and say what 'you' and 'you all' do.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-plural-verbs-in-the-present-tense/lessons/talk-to-others-er-verbs-2nd-persons-singular-and-plural
The person or a person? Singular definite articles 'le' and 'la',French,Year 7,ks3,,I can use the definite article with singular nouns to talk about people.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/people-singular-avoir-and-etre-and-definite-articles/lessons/the-person-or-a-person-singular-definite-articles-le-and-la
Trip preparations,French,Year 7,ks3,,I can recall key grammar and vocabulary.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/paris-and-nice-adjective-placement/lessons/trip-preparations
Un poème familial: read and read aloud,French,Year 7,ks3,,I can use prior knowledge and cognates to understand a French poem and apply adjectival agreement patterns.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/places-to-go-singular-aller/lessons/un-poeme-familial-read-and-read-aloud
Understand what others do: -er verbs 3rd persons singular and plural,French,Year 7,ks3,,I can use 'il/elle' and 'ils/elles' with a range of -er verbs to say what others do.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-plural-verbs-in-the-present-tense/lessons/understand-what-others-do-er-verbs-3rd-persons-singular-and-plural
Une personne sans tête : responding to a poem,French,Year 7,ks3,,I can use my knowledge of French vocabulary and structures to understand simple French poetry and use my own repertoire and reference materials to adapt it.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/summer-activities-modal-verbs-in-two-verb-structures/lessons/une-personne-sans-tete-responding-to-a-poem
Want and must: 'vouloir' and 'devoir' 1st and 3rd persons singular,French,Year 7,ks3,,I can use the modal verbs 'devoir' and 'vouloir' in the 1st and 3rd persons in the context of summer activities.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/summer-activities-modal-verbs-in-two-verb-structures/lessons/want-and-must-vouloir-and-devoir-1st-and-3rd-persons-singular
What is that? C'est and singular indefinite articles,French,Year 7,ks3,,I can use ‘c’est’ and singular indefinite articles to describe what it is/that is.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/belongings-singular-avoir-nouns-and-indefinite-articles/lessons/what-is-that-cest-and-singular-indefinite-articles
"What isn't done: negation before a noun with 'avoir', 'être', 'faire'",French,Year 7,ks3,,"I can use negation with 'ne … pas' before nouns with a variety of present tense verbs to say what I don’t have, don’t do and am not.",https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/everyday-life-negation-with-ne-pas-in-the-present-tense/lessons/what-isnt-done-negation-before-a-noun-with-avoir-etre-faire
What isn't happening: 'ne … pas' negation,French,Year 7,ks3,,I can use negation with 'ne … pas' to describe what isn’t happening in everyday life.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/everyday-life-negation-with-ne-pas-in-the-present-tense/lessons/what-isnt-happening-ne-pas-negation
What isn't there: negation before a noun with 'il y a',French,Year 7,ks3,,I can say what there isn't using 'il n'y a pas de' and what I don't have using 'avoir' and 'ne … pas'.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/everyday-life-negation-with-ne-pas-in-the-present-tense/lessons/what-isnt-there-negation-before-a-noun-with-il-y-a
What others want or have to do: 'vouloir' and 'devoir' singular,French,Year 7,ks3,,I can use the modal verbs 'devoir' and 'vouloir' in the singular persons in the context of summer activities.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/summer-activities-modal-verbs-in-two-verb-structures/lessons/what-others-want-or-have-to-do-vouloir-and-devoir-singular
What people are not going to do: negation with two-verb structures,French,Year 7,ks3,,I can form negative sentences with two-verb structures to express what I and others are not going to do.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/my-plans-aller-plus-infinitive/lessons/what-people-are-not-going-to-do-negation-with-two-verb-structures
What people do and don't do: 'ne … pas' negation,French,Year 7,ks3,,I can use simple prepositions to say where objects are and describe what someone does and doesn’t do in everyday life.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/everyday-life-negation-with-ne-pas-in-the-present-tense/lessons/what-people-do-and-dont-do-ne-pas-negation
"What people do: 'en', meaning 'in' and 'by'",French,Year 7,ks3,,I can use ‘en’ to say ‘in’ or ‘by’ and ‘faire’ for different activities in the present tense.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-singular-verbs-in-the-present-tense/lessons/what-people-do-en-meaning-in-and-by
What people do: 'faire' 1st and 2nd persons plural,French,Year 7,ks3,,I can use ‘nous’ and ‘vous’ with ‘faire’ to say what we do and you do.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/everyday-situations-plural-faire/lessons/what-people-do-faire-1st-and-2nd-persons-plural
What people do: 'faire' 3rd persons singular and plural,French,Year 7,ks3,,I can use the 3rd persons singular and plural of ‘faire’ to describe activities.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/everyday-situations-plural-faire/lessons/what-people-do-faire-3rd-persons-singular-and-plural
"What people do: 'faire', meaning 'go'",French,Year 7,ks3,,I can use 'faire' to mean 'to go' and for other present tense activities.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-singular-verbs-in-the-present-tense/lessons/what-people-do-faire-meaning-go
What people do: regular singular -er verbs,French,Year 7,ks3,,I can describe classroom activities using the singular form of the simple present tense with -er verbs.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-singular-verbs-in-the-present-tense/lessons/what-people-do-regular-singular-er-verbs
What people have: 'avoir' 1st and 2nd persons plural,French,Year 7,ks3,,I can use 'nous avons' and 'vous avez' to describe what 'we' and 'you (pl)' have.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/family-life-numbers-plural-nouns-plural-avoir-and-etre/lessons/what-people-have-avoir-1st-and-2nd-persons-plural
What people have: 'avoir' 3rd persons singular and plural,French,Year 7,ks3,,I can use 'ils ont' and 'elles ont' to describe what they (masculine and feminine) have.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/family-life-numbers-plural-nouns-plural-avoir-and-etre/lessons/what-people-have-avoir-3rd-persons-singular-and-plural
What people like doing: 2-verb phrases with 'aimer',French,Year 7,ks3,,"I can use -er verbs in the simple present tense, including two-verb structures, to say what I do and like doing.",https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-singular-verbs-in-the-present-tense/lessons/what-people-like-doing-2-verb-phrases-with-aimer
What someone does: 'faire' singular persons,French,Year 7,ks3,,I can use 'faire' to say what activities I and others do at home.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-singular-faire/lessons/what-someone-does-faire-singular-persons
What someone does: intonation questions with 'quoi',French,Year 7,ks3,,I can ask about and say what I do or someone else does using the verb ‘faire’.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-singular-faire/lessons/what-someone-does-intonation-questions-with-quoi
What someone has: avoir 1st and 3rd persons singular,French,Year 7,ks3,,I can say what I have and someone else has using 'avoir'.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/belongings-singular-avoir-nouns-and-indefinite-articles/lessons/what-someone-has-avoir-1st-and-3rd-persons-singular
What you can and can't do: 'pouvoir' and 'savoir' singular persons,French,Year 7,ks3,,I can use the modal verbs 'pouvoir' and 'savoir' in the singular persons to say what summer activities I can do.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/summer-activities-modal-verbs-in-two-verb-structures/lessons/what-you-can-and-cant-do-pouvoir-and-savoir-singular-persons
What you can and can't do: negation with modal verbs + infinitive,French,Year 7,ks3,,I can use modal verbs in negative structures and questions to talk about summer activities.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/summer-activities-modal-verbs-in-two-verb-structures/lessons/what-you-can-and-cant-do-negation-with-modal-verbs-plus-infinitive
What you do with others: -er verbs 1st persons singular and plural,French,Year 7,ks3,,I can use 'je' and 'nous' with a range of -er verbs to say what I do with others.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-plural-verbs-in-the-present-tense/lessons/what-you-do-with-others-er-verbs-1st-persons-singular-and-plural
What you do with others: -er verbs and favourite things,French,Year 7,ks3,,I can ask and answer questions about favourite things and use singular and 'nous' form present -er verbs to say what I do with others.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/activities-plural-verbs-in-the-present-tense/lessons/what-you-do-with-others-er-verbs-and-favourite-things
Where people go: 'à l'' and 'aux',French,Year 7,ks3,,I can use a variety of singular and plural nouns with the preposition à to say and understand where I and others go.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/places-to-go-singular-aller/lessons/where-people-go-a-l-and-aux
"Where they go: 'aller' plural persons, prepositions 'à', 'en', 'chez'",French,Year 7,ks3,,"I can use the plural forms of 'aller' with the prepositions 'à', 'en' and 'chez' to say and understand where we and others go.",https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/places-and-people-plural-aller-and-er-present-tense-verbs/lessons/where-they-go-aller-plural-persons-prepositions-a-en-chez
Where we go: 'aller' 1st person plural,French,Year 7,ks3,,I can use 'nous allons' with the preposition 'à' to say and understand where we go.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/places-and-people-plural-aller-and-er-present-tense-verbs/lessons/where-we-go-aller-1st-person-plural
Write a poem: using 'comme' in French similes,French,Year 7,ks3,,I can write a French poem using 'comme' similes.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/poem-sept-couleurs-magiques/lessons/write-a-poem-using-comme-in-french-similes
Write about a friend:  'il' and 'elle' meaning 'it',French,Year 7,ks3,,"I can write about a friend using 'être' and 'avoir' and a range of adjectives, conjunctions and adverbs.",https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/people-singular-avoir-and-etre-and-definite-articles/lessons/write-about-a-friend-il-and-elle-meaning-it-21414
A day in the life of a journalist: plural masculine nouns '-x' and '-aux',French,Year 8,ks3,,I can use plural nouns to describe current events.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/in-the-news-plural-adjectives/lessons/a-day-in-the-life-of-a-journalist-plural-masculine-nouns-x-and-aux
A new friend: singular -re verbs like 'entendre',French,Year 8,ks3,,I can use verbs like ‘entendre’ in the present tense singular to communicate with a penfriend.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/language-learning-plural-re-verbs-in-the-present/lessons/a-new-friend-singular-re-verbs-like-entendre
A new language: singular -re verbs like 'lire',French,Year 8,ks3,,I can use verbs like ‘lire’ in the present tense singular to describe a school exchange.,https://www.thenational.academy/teachers/programmes/french-secondary-ks3/units/language-learning-plural-re-verbs-in-the-present/lessons/a-new-language-singular-re-verbs-like-lire
